商品ID,品类ID,二级品类,商品名称,规格,存储方式,零售价_元,成本价_元,损耗率
S043,C17,预制菜,酸菜鱼预制菜,450g/盒,冷藏,39.9,22.0,0.1
S044,C17,预制菜,宫保鸡丁,350g/盒,冷藏,29.9,16.5,0.09
S045,C17,预制菜,黑椒牛柳,300g/盒,冷藏,35.9,20.0,0.1
S046,C17,预制菜,自热火锅,430g/盒,常温,32.9,18.0,0.08
S047,C18,烘焙,全麦吐司,400g/袋,常温,12.9,5.5,0.07
S048,C18,烘焙,可颂面包,4个/盒,常温,18.9,8.0,0.12
S049,C18,烘焙,瑞士卷,4片/盒,冷藏,22.9,10.5,0.14
S050,C19,冷冻面点,手工水饺,500g/袋,冷冻,19.9,10.5,0.08
S051,C19,冷冻面点,手抓饼,10片/袋,冷冻,15.9,7.8,0.07
S052,C19,冷冻面点,小笼包,300g/袋,冷冻,18.9,9.5,0.09
S053,C20,冷冻肉类,澳洲肥牛卷,300g/盒,冷冻,45.9,28.0,0.08
S054,C20,冷冻肉类,羔羊卷,300g/盒,冷冻,42.9,26.0,0.08
S055,C20,冷冻肉类,潮汕牛肉丸,250g/袋,冷冻,28.9,15.5,0.07
S056,C21,饮料,元气森林气泡水,480ml*6,常温,29.9,16.0,0.05
S057,C21,饮料,三得利乌龙茶,500ml*6,常温,24.9,13.5,0.04
S058,C21,饮料,NFC橙汁,1L/瓶,冷藏,19.9,10.8,0.1
S059,C22,酒水,青岛经典啤酒,500ml*6,常温,32.9,18.0,0.04
S060,C22,酒水,长城干红葡萄酒,750ml/瓶,常温,68.0,38.0,0.05
S061,C23,纸品,维达抽纸,3层130抽*6,常温,29.9,16.5,0.03
S062,C23,纸品,心相印卷纸,140g*10,常温,32.9,18.0,0.03
S063,C24,清洁,蓝月亮洗衣液,3kg/瓶,常温,49.9,28.0,0.03
S064,C24,清洁,威猛先生厨房清洁剂,500ml/瓶,常温,18.9,9.5,0.04
S065,C25,个护,舒肤佳香皂,115g*3,常温,15.9,8.0,0.03
S066,C01,叶菜类,娃娃菜,400g/份,冷藏,5.9,2.5,0.11
S067,C02,根茎类,土豆,1kg/袋,常温,4.9,2.0,0.05
S068,C04,热带水果,红心火龙果,500g/份,常温,12.9,6.5,0.1
S069,C05,浆果类,阳光玫瑰葡萄,500g/盒,冷藏,29.9,15.0,0.16
S070,C06,核果类,进口奇异果,6个/盒,常温,22.9,12.0,0.09
S071,C07,猪肉,猪里脊,300g/盒,冷藏,26.9,16.5,0.06
S072,C10,淡水鱼,草鱼段,400g/盒,冷藏,18.9,10.5,0.13
S073,C12,鲜奶,光明优倍,950ml/瓶,冷藏,15.9,8.8,0.08
S074,C17,预制菜,麻婆豆腐,300g/盒,冷藏,18.9,9.5,0.09
S075,C17,预制菜,番茄牛腩,400g/盒,冷藏,36.9,20.5,0.1
S076,C19,冷冻面点,速冻馄饨,400g/袋,冷冻,16.9,8.5,0.08
S077,C20,冷冻肉类,鸡翅根,500g/袋,冷冻,19.9,11.0,0.07
S078,C21,饮料,农夫山泉,550ml*12,常温,18.9,9.5,0.03
S079,C03,菌菇类,杏鲍菇,300g/份,冷藏,7.5,3.2,0.12
S080,C11,海水产,带鱼段,500g/袋,冷冻,22.9,12.5,0.11
S081,C15,米面,意大利面,500g/袋,常温,14.9,7.5,0.04
S082,C18,烘焙,贝果,4个/袋,常温,16.9,7.0,0.13
S083,C16,调味,恒顺香醋,500ml/瓶,常温,9.9,5.0,0.04
S084,C22,酒水,百威啤酒,500ml*6,常温,35.9,20.0,0.04
S085,C25,个护,高露洁牙膏,180g/支,常温,12.9,6.5,0.03
S086,C04,热带水果,进口牛油果,4个/盒,常温,29.9,16.0,0.14
S087,C05,浆果类,进口树莓,125g/盒,冷藏,24.9,13.0,0.2
S088,C08,禽类,鸡胸肉,400g/盒,冷藏,16.9,9.0,0.07
S089,C13,酸奶,希腊酸奶,200g*2,冷藏,21.9,12.0,0.09
S090,C17,预制菜,照烧鸡腿饭,380g/盒,冷藏,26.9,14.5,0.09
S091,C01,叶菜类,西芹,400g/份,冷藏,6.9,3.2,0.1
S092,C02,根茎类,胡萝卜,500g/份,常温,4.9,2.2,0.06
S093,C06,核果类,进口橙子,1kg/袋,常温,15.9,8.0,0.08
S094,C07,猪肉,猪骨汤用骨,500g/盒,冷藏,19.9,11.0,0.07
S095,C10,淡水鱼,黄颡鱼,400g/份,鲜活,28.9,16.0,0.15
S096,C19,冷冻面点,红糖糍粑,300g/袋,冷冻,14.9,7.0,0.1
S097,C21,饮料,东方树叶,500ml*6,常温,26.9,14.0,0.04
S098,C23,纸品,厨房纸巾,2卷*3,常温,19.9,10.0,0.03
S099,C24,清洁,84消毒液,1.2L/瓶,常温,12.9,6.0,0.04
S100,C20,冷冻肉类,手打虾滑,200g/袋,冷冻,32.9,18.5,0.09
